Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-01-02 13:02 (EST),On Demand,Emma Lovewell,30,Cycling,Groove,30 min Groove Ride,2020-12-30 15:23 (EST),284,158,50%,74,19.20,9.59,496,161.23,,
2021-01-02 13:34 (EST),On Demand,Emma Lovewell,5,Cycling,Low Impact,5 min Cool Down Ride,2019-08-06 15:20 (EST),17,56,35%,66,12.47,1.04,61,134.28,,
2021-01-02 13:41 (EST),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-01-21 16:31 (EST),,,,,,,56,126.76,,
2021-01-02 13:48 (EST),On Demand,Emma Lovewell,15,Strength,Pilates,15 min Pilates,2020-12-16 09:00 (EST),,,,,,,141,115.68,,
2021-01-03 00:18 (EST),On Demand,Aditi Shah,5,Meditation,Emotions,5 min Gratitude Meditation,2019-11-26 11:25 (EST),,,,,,,,,,
2021-01-03 11:37 (EST),On Demand,Jess King,45,Cycling,Theme,45 min JKE: New Years Eve Special,2020-12-31 09:00 (EST),395,146,47%,75,18.67,14.00,719,157.64,,
2021-01-03 12:23 (EST),On Demand,Jess King,5,Cycling,Low Impact,5 min Cool Down Ride,2020-12-30 09:00 (EST),15,51,33%,65,11.95,0.99,62,135.47,,
2021-01-03 12:30 (EST),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-10-23 16:28 (EST),,,,,,,55,125.39,,
2021-01-03 12:37 (EST),On Demand,Olivia Amato,5,Strength,Core,5 min Core Strength,2020-11-18 08:57 (EST),,,,,,,45,112.63,,
2021-01-04 13:16 (EST),On Demand,Olivia Amato,15,Cycling,Music,15 min Pop Ride,2020-12-21 06:38 (EST),160,178,50%,76,19.99,4.99,264,168.16,,
2021-01-04 13:33 (EST),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-21 08:30 (EST),,,,,,,55,125.82,,
2021-01-04 13:42 (EST),On Demand,Olivia Amato,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2020-02-11 08:31 (EST),,,,,,,125,135.12,,
2021-01-05 09:49 (EST),On Demand,Adrian Williams,20,Strength,Full Body,20 min Year of Yes Full Body Strength,2020-12-29 08:30 (EST),,,,,,,130,,,
